,cell_types,Sample_ID,condition
HNSCC17_P1_HNSCC17_P1_H10,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C09,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B07,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C10,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H05,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E05,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E02,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D08,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B03,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D04,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F07,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D10,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E04,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A05,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C07,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F06,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F02,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D02,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G05,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E10,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H01,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G12,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H08,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H12,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G09,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A06,CRC,oscc17,N0_pri
